Source,Target,Type,Weight
한국일보,topic_1,Undirected,1
헤럴드경제,topic_1,Undirected,1
중도일보,topic_0,Undirected,1
중도일보,topic_0,Undirected,1
세계일보,topic_2,Undirected,1
한국경제,topic_2,Undirected,1
OBS,topic_2,Undirected,1
MBC,topic_1,Undirected,1
전북도민일보,topic_2,Undirected,1
한국경제,topic_1,Undirected,1
서울경제,topic_0,Undirected,1
대구일보,topic_2,Undirected,1
한국경제,topic_1,Undirected,1
전북도민일보,topic_2,Undirected,1
경남도민일보,topic_0,Undirected,1
부산일보,topic_0,Undirected,1
헤럴드경제,topic_1,Undirected,1
디지털타임스,topic_1,Undirected,1
경인일보,topic_1,Undirected,1
헤럴드경제,topic_1,Undirected,1
부산일보,topic_1,Undirected,1
서울경제,topic_1,Undirected,1
전자신문,topic_2,Undirected,1
부산일보,topic_1,Undirected,1
전자신문,topic_0,Undirected,1
세계일보,topic_1,Undirected,1
헤럴드경제,topic_0,Undirected,1
경인일보,topic_1,Undirected,1
세계일보,topic_1,Undirected,1
세계일보,topic_0,Undirected,1
서울경제,topic_0,Undirected,1
세계일보,topic_1,Undirected,1
전자신문,topic_0,Undirected,1
한국일보,topic_0,Undirected,1
충청투데이,topic_2,Undirected,1
무등일보,topic_0,Undirected,1
무등일보,topic_2,Undirected,1
전남일보,topic_2,Undirected,1
전북일보,topic_2,Undirected,1
전북일보,topic_0,Undirected,1
국민일보,topic_0,Undirected,1
제민일보,topic_1,Undirected,1
국민일보,topic_0,Undirected,1
경상일보,topic_1,Undirected,1
중도일보,topic_2,Undirected,1
중도일보,topic_1,Undirected,1
중도일보,topic_2,Undirected,1
한국경제,topic_1,Undirected,1
전북도민일보,topic_0,Undirected,1
경남도민일보,topic_2,Undirected,1
경인일보,topic_2,Undirected,1
중부매일,topic_1,Undirected,1
경기일보,topic_2,Undirected,1
중부매일,topic_2,Undirected,1
충북일보,topic_2,Undirected,1
YTN,topic_1,Undirected,1
경향신문,topic_1,Undirected,1
부산일보,topic_2,Undirected,1
문화일보,topic_1,Undirected,1
문화일보,topic_1,Undirected,1
내일신문,topic_1,Undirected,1
매일경제,topic_2,Undirected,1
한국경제,topic_1,Undirected,1
헤럴드경제,topic_0,Undirected,1
헤럴드경제,topic_0,Undirected,1
헤럴드경제,topic_0,Undirected,1
매일경제,topic_0,Undirected,1
매일경제,topic_0,Undirected,1
충청투데이,topic_0,Undirected,1
충청투데이,topic_2,Undirected,1
경인일보,topic_2,Undirected,1
한국일보,topic_0,Undirected,1
한국일보,topic_0,Undirected,1
대전일보,topic_2,Undirected,1
중도일보,topic_2,Undirected,1
중도일보,topic_1,Undirected,1
전북도민일보,topic_0,Undirected,1
한국경제,topic_1,Undirected,1
충청일보,topic_1,Undirected,1
서울경제,topic_0,Undirected,1
충북일보,topic_0,Undirected,1
매일경제,topic_1,Undirected,1
전자신문,topic_0,Undirected,1
전자신문,topic_1,Undirected,1
중부매일,topic_2,Undirected,1
중부매일,topic_0,Undirected,1
전자신문,topic_0,Undirected,1
헤럴드경제,topic_0,Undirected,1
헤럴드경제,topic_2,Undirected,1
서울경제,topic_1,Undirected,1
헤럴드경제,topic_0,Undirected,1
영남일보,topic_0,Undirected,1
국민일보,topic_0,Undirected,1
서울신문,topic_1,Undirected,1
충청투데이,topic_2,Undirected,1
충청투데이,topic_2,Undirected,1
전남일보,topic_0,Undirected,1
경기일보,topic_2,Undirected,1
국민일보,topic_1,Undirected,1
대구일보,topic_0,Undirected,1
파이낸셜뉴스,topic_1,Undirected,1
국민일보,topic_1,Undirected,1
서울경제,topic_1,Undirected,1
한국일보,topic_1,Undirected,1
중도일보,topic_0,Undirected,1
중도일보,topic_0,Undirected,1
중도일보,topic_2,Undirected,1
부산일보,topic_1,Undirected,1
SBS,topic_1,Undirected,1
매일경제,topic_1,Undirected,1
경남도민일보,topic_2,Undirected,1
매일경제,topic_1,Undirected,1
전북도민일보,topic_2,Undirected,1
디지털타임스,topic_1,Undirected,1
YTN,topic_2,Undirected,1
서울경제,topic_1,Undirected,1
서울경제,topic_1,Undirected,1
헤럴드경제,topic_1,Undirected,1
매일경제,topic_2,Undirected,1
한국경제,topic_1,Undirected,1
충북일보,topic_1,Undirected,1
한국경제,topic_1,Undirected,1
세계일보,topic_1,Undirected,1
서울경제,topic_1,Undirected,1
헤럴드경제,topic_1,Undirected,1
매일경제,topic_0,Undirected,1
헤럴드경제,topic_0,Undirected,1
전자신문,topic_0,Undirected,1
내일신문,topic_0,Undirected,1
서울경제,topic_2,Undirected,1
한겨레,topic_1,Undirected,1
헤럴드경제,topic_2,Undirected,1
전자신문,topic_2,Undirected,1
헤럴드경제,topic_2,Undirected,1
한국경제,topic_1,Undirected,1
헤럴드경제,topic_1,Undirected,1
세계일보,topic_2,Undirected,1
서울경제,topic_2,Undirected,1
전남일보,topic_0,Undirected,1
경기일보,topic_2,Undirected,1
경기일보,topic_2,Undirected,1
경기일보,topic_2,Undirected,1
경인일보,topic_2,Undirected,1
국민일보,topic_1,Undirected,1
파이낸셜뉴스,topic_0,Undirected,1
매일신문,topic_0,Undirected,1
경남도민일보,topic_2,Undirected,1
경남도민일보,topic_0,Undirected,1
한국일보,topic_0,Undirected,1
한국일보,topic_2,Undirected,1
한국일보,topic_2,Undirected,1
YTN,topic_1,Undirected,1
중도일보,topic_0,Undirected,1
SBS,topic_1,Undirected,1
매일경제,topic_1,Undirected,1
경인일보,topic_2,Undirected,1
중부매일,topic_2,Undirected,1
서울경제,topic_0,Undirected,1
서울신문,topic_2,Undirected,1
경향신문,topic_1,Undirected,1
충북일보,topic_0,Undirected,1
울산매일,topic_2,Undirected,1
한국경제,topic_1,Undirected,1
YTN,topic_2,Undirected,1
YTN,topic_1,Undirected,1
경향신문,topic_0,Undirected,1
경향신문,topic_0,Undirected,1
경향신문,topic_0,Undirected,1
한국경제,topic_0,Undirected,1
MBC,topic_1,Undirected,1
한국일보,topic_0,Undirected,1
한국경제,topic_1,Undirected,1
경남도민일보,topic_2,Undirected,1
전북도민일보,topic_0,Undirected,1
한국일보,topic_1,Undirected,1
한국일보,topic_0,Undirected,1
중도일보,topic_0,Undirected,1
중도일보,topic_2,Undirected,1
서울경제,topic_0,Undirected,1
매일경제,topic_0,Undirected,1
매일경제,topic_0,Undirected,1
내일신문,topic_0,Undirected,1
내일신문,topic_0,Undirected,1
헤럴드경제,topic_0,Undirected,1
헤럴드경제,topic_0,Undirected,1
영남일보,topic_0,Undirected,1
세계일보,topic_0,Undirected,1
세계일보,topic_0,Undirected,1
충청투데이,topic_0,Undirected,1
충청투데이,topic_0,Undirected,1
부산일보,topic_2,Undirected,1
대구일보,topic_2,Undirected,1
경남신문,topic_1,Undirected,1
국민일보,topic_0,Undirected,1
매일신문,topic_0,Undirected,1
한국일보,topic_2,Undirected,1
울산매일,topic_0,Undirected,1
충청일보,topic_2,Undirected,1
중도일보,topic_2,Undirected,1
중도일보,topic_1,Undirected,1
중도일보,topic_2,Undirected,1
중도일보,topic_2,Undirected,1
중도일보,topic_1,Undirected,1
경향신문,topic_0,Undirected,1
경향신문,topic_0,Undirected,1
경향신문,topic_0,Undirected,1
중부매일,topic_2,Undirected,1
중부매일,topic_0,Undirected,1
세계일보,topic_2,Undirected,1
전북도민일보,topic_0,Undirected,1
중부매일,topic_2,Undirected,1
경남도민일보,topic_1,Undirected,1
충북일보,topic_2,Undirected,1
한국경제,topic_0,Undirected,1
충북일보,topic_2,Undirected,1
서울경제,topic_0,Undirected,1
한국경제,topic_1,Undirected,1
전자신문,topic_0,Undirected,1
충북일보,topic_0,Undirected,1
문화일보,topic_2,Undirected,1
광주일보,topic_0,Undirected,1
파이낸셜뉴스,topic_0,Undirected,1
내일신문,topic_0,Undirected,1
매일경제,topic_1,Undirected,1
한국경제,topic_1,Undirected,1
헤럴드경제,topic_2,Undirected,1
헤럴드경제,topic_0,Undirected,1
매일경제,topic_0,Undirected,1
전북일보,topic_0,Undirected,1
충청투데이,topic_1,Undirected,1
충청투데이,topic_2,Undirected,1
강원도민일보,topic_0,Undirected,1
경인일보,topic_0,Undirected,1
경인일보,topic_0,Undirected,1
무등일보,topic_0,Undirected,1
한국경제,topic_0,Undirected,1
한국일보,topic_1,Undirected,1
중도일보,topic_2,Undirected,1
중도일보,topic_2,Undirected,1
전북도민일보,topic_2,Undirected,1
디지털타임스,topic_0,Undirected,1
충청일보,topic_2,Undirected,1
충청일보,topic_2,Undirected,1
디지털타임스,topic_1,Undirected,1
서울경제,topic_0,Undirected,1
매일경제,topic_0,Undirected,1
대전일보,topic_2,Undirected,1
경남도민일보,topic_0,Undirected,1
전북도민일보,topic_3,Undirected,1
중부매일,topic_2,Undirected,1
문화일보,topic_1,Undirected,1
충북일보,topic_2,Undirected,1
헤럴드경제,topic_0,Undirected,1
중부매일,topic_2,Undirected,1
디지털타임스,topic_1,Undirected,1
서울경제,topic_0,Undirected,1
